Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
STRN,ENST00000263918.4,"striatin, calmodulin binding protein ",476,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0041,0.0296,0.1983,-0.06,-0.09,0.54,2011
ZNF652,ENST00000362063.2,zinc finger protein 652 ,33,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0041,0.0298,0.1906,-0.05,-0.28,0.63,2011
CYTH2,ENST00000427476.1,cytohesin 2 ,383,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.002,0.014,0.0727,-0.05,-0.32,0.58,2011
CRTC3,ENST00000420329.2,CREB regulated transcription coactivator 3 ,612,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0086,0.0607,0.3518,-0.05,-0.05,0.52,"2009, 2011
"
GLUL,ENST00000331872.6,glutamate-ammonia ligase ,1073,1,0,1,0,1,0,0,1,2,hsa-miR-140-5p,0.0024,0.0169,0.087,-0.05,-0.26,0.66,"2009, 2011
"
CISD1,ENST00000333926.5,CDGSH iron sulfur domain 1 ,367,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0006,0.0041,0.0264,-0.05,-0.3,0.29,"NULL
"
ATG14,ENST00000247178.5,autophagy related 14 ,25,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0038,0.0272,0.1652,-0.05,-0.25,0.59,"2009, 2011
"
GLIPR1,ENST00000266659.3,GLI pathogenesis-related 1 ,623,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.002,0.0149,0.103,-0.04,-0.17,< 0.1,"NULL
"
FRAS1,ENST00000264895.6,Fraser syndrome 1 ,709,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0163,0.116,0.6819,-0.04,-0.04,0.47,2007
ATF6,ENST00000367942.3,activating transcription factor 6 ,382,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0023,0.0166,0.1122,-0.04,-0.26,0.45,"NULL
"
SMAD2,ENST00000262160.6,SMAD family member 2 ,1196,1,0,1,0,3,0,2,1,0,hsa-miR-140-5p,0.0031,0.0223,0.143,-0.04,-0.28,0.54,"NULL
"
PAX6,ENST00000419022.1,paired box 6 ,191,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0024,0.0174,0.1163,-0.04,-0.19,0.43,2011
POLR3H,ENST00000396504.2,polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) ,216,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0033,0.0245,0.1708,-0.04,-0.04,< 0.1,2007
SBNO1,ENST00000420886.2,strawberry notch homolog 1 (Drosophila) ,87,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0029,0.0204,0.108,-0.04,-0.24,0.75,2011
IKZF3,ENST00000346872.3,IKAROS family zinc finger 3 (Aiolos) ,7,1,0,1,0,1,0,0,1,2,hsa-miR-140-5p,0.0037,0.0267,0.1669,-0.04,-0.12,0.52,"NULL
"
NIPA1,ENST00000337435.4,non imprinted in Prader-Willi/Angelman syndrome 1 ,805,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0015,0.0108,0.0593,-0.03,-0.2,0.29,"NULL
"
IGF1R,ENST00000268035.6,insulin-like growth factor 1 receptor ,561,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0142,0.0981,0.4992,-0.03,-0.04,0.44,"2007, 2009, 2011
"
FBN2,ENST00000262464.4,fibrillin 2 ,167,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0063,0.0452,0.2772,-0.03,-0.03,0.48,"2007, 2011
"
CLIC2,ENST00000369449.2,chloride intracellular channel 2 ,30,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.001,0.0072,0.0418,-0.03,-0.18,0.45,"2009, 2011
"
TFCP2,ENST00000257915.5,transcription factor CP2 ,1274,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0017,0.0116,0.0597,-0.03,-0.24,0.44,"NULL
"
IPPK,ENST00000287996.3,"inositol 1,3,4,5,6-pentakisphosphate 2-kinase ",211,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0015,0.0112,0.0761,-0.03,-0.22,0.57,2011
RPS6KA3,ENST00000379565.3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3 ",769,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0012,0.0085,0.0533,-0.03,-0.17,0.59,"2007, 2009, 2011
"
ZNF639,ENST00000326361.3,zinc finger protein 639 ,614,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0007,0.0048,0.0312,-0.02,-0.23,0.45,"NULL
"
S1PR1,ENST00000305352.6,sphingosine-1-phosphate receptor 1 ,251,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0006,0.0041,0.0263,-0.02,-0.21,0.53,"NULL
"
SENP5,ENST00000323460.5,SUMO1/sentrin specific peptidase 5 ,125,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0022,0.0158,0.0945,-0.02,-0.2,0.45,"NULL
"
KIAA0753,ENST00000361413.3,KIAA0753 ,133,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0009,0.006,0.0296,-0.02,-0.21,0.46,"NULL
"
SLC29A4,ENST00000396872.3,"solute carrier family 29 (equilibrative nucleoside transporter), member 4 ",61,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0015,0.0109,0.0728,-0.01,-0.18,0.45,"NULL
"
METTL8,ENST00000375258.4,methyltransferase like 8 ,124,1,0,1,0,0,0,0,0,3,hsa-miR-140-5p,0.0042,0.031,0.2107,-0.01,-0.16,0.57,"2009, 2011
"
PSMF1,ENST00000335877.6,"proteasome (prosome, macropain) inhibitor subunit 1 (PI31) ",2709,1,1,0,0,1,1,0,0,1,hsa-miR-140-5p,0.0014,0.0104,0.0692,-0.01,-0.64,0.39,2011
NUFIP2,ENST00000225388.4,nuclear fragile X mental retardation protein interacting protein 2 ,440,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0016,0.0118,0.0731,-0.01,-0.07,0.55,"2009, 2011
"
MED28,ENST00000237380.7,mediator complex subunit 28 ,1483,1,0,1,0,2,0,1,1,1,hsa-miR-140-5p,0.0011,0.0078,0.0531,-0.01,-0.54,0.56,"NULL
"
SOCS7,ENST00000577233.1,suppressor of cytokine signaling 7 ,15,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0004,0.0032,0.0202,-0.01,-0.07,0.5,2011
CALCOCO2,ENST00000258947.3,calcium binding and coiled-coil domain 2 ,1160,1,0,1,0,0,0,0,0,3,hsa-miR-140-5p,0.0006,0.0041,0.0242,-0.01,-0.21,0.58,"NULL
"
UBE2I,ENST00000355803.4,ubiquitin-conjugating enzyme E2I ,291,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0002,0.0018,0.0107,0,-0.3,0.6,"NULL
"
PXMP4,ENST00000344022.3,"peroxisomal membrane protein 4, 24kDa ",158,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0002,0.0011,0.0076,0,-0.27,0.52,"NULL
"
TMEM120B,ENST00000449592.2,transmembrane protein 120B ,60,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0008,0.0056,0.0389,0,-0.02,< 0.1,"NULL
"
CHIC2,ENST00000263921.3,cysteine-rich hydrophobic domain 2 ,2509,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0,0.0001,0.001,0,-0.29,0.58,"NULL
"
FNDC5,ENST00000496770.1,fibronectin type III domain containing 5 ,5,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0,0.0001,0.0008,0,-0.48,0.55,"2009, 2011
"
ZBTB20,ENST00000462705.1,zinc finger and BTB domain containing 20 ,5,1,1,0,0,1,0,0,1,3,hsa-miR-140-5p,0.0001,0.0008,0.0053,0,-0.22,0.76,"NULL
"
WNT1,ENST00000293549.3,"wingless-type MMTV integration site family, member 1 ",5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0,0.0001,0.0005,0,-0.22,0.47,"2007, 2011
"
TRIM44,ENST00000299413.5,tripartite motif containing 44 ,4203,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.001,0.0074,0.0523,0,-0.23,0.63,"NULL
"
SERPINC1,ENST00000367698.3,"serpin peptidase inhibitor, clade C (antithrombin), member 1 ",792,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0002,0.0015,0.0107,0,-0.3,0.61,"NULL
"
SAP30,ENST00000296504.3,"Sin3A-associated protein, 30kDa ",43,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0,0,0.0001,0,-0.16,0.43,"NULL
"
